EmployeeID,Name,Age,Gender,Department,Designation,ExperienceYears,Skillset,Salary,ProductivityScore,JoiningDate,WorkLocation,EducationLevel,RemoteWorkEligible,PerformanceRating,LastPromotionYear,ManagerID
E07397,Kelly Smith,21.0,Female,Finance,Junior,0.0,"Finance, Excel",26918.0,65.0,2022-12-31,Delhi,Bachelor,No,4.0,2022.0,E08338
E05254,Patrick Baker,38.0,Male,Sales,Junior,3.0,"CRM, Negotiation",30960.0,58.0,2022-09-02,Bangalore,Master,No,3.0,2025.0,E06960
E05764,Karen Black,37.0,Female,HR,Junior,1.0,"Communication, Recruitment",30858.0,54.0,2019-10-01,Kolkata,Master,No,3.0,2019.0,E05239
E10000,Mary Lozano,29.0,Male,IT,Executive,6.0,"SQL, Cloud Computing",43634.0,53.0,2014-05-05,Bangalore,Bachelor,Yes,3.0,2019.0,E01416
E09321,Cory Smith,27.0,Female,Finance,Junior,1.0,"Excel, Finance",33096.0,43.0,2022-11-07,Pune,PhD,No,3.0,2022.0,E02520
E05266,Jerome Gonzalez,28.0,Female,IT,Junior,6.0,Cloud Computing,38543.0,68.0,2024-08-03,Hyderabad,Bachelor,Yes,4.0,2025.0,E03985
E03223,Miss Barbara Watkins,31.0,Female,Finance,Senior,9.0,"Accounting, Finance",62703.0,65.0,2020-04-23,Delhi,Master,No,4.0,2025.0,E03808
E04358,Karen Soto MD,41.0,Male,Operations,Executive,5.0,"Excel, Analytics, Project Management",40729.0,55.0,2024-06-09,Bangalore,High School,No,3.0,2025.0,E04929
E01604,Michael Schwartz,42.0,Male,Operations,Manager,12.0,Logistics,111523.0,100.0,2022-12-11,Kolkata,Bachelor,No,5.0,2025.0,
E01478,Sarah Scott,31.0,Female,IT,Senior,5.0,"Cloud Computing, Python",60857.0,68.0,2017-12-01,Hyderabad,Bachelor,Yes,4.0,2020.0,E08337
E08515,Joshua Coffey,37.0,Female,Sales,Senior,7.0,"Communication, Negotiation, CRM",55918.0,58.0,2015-06-02,Delhi,PhD,No,3.0,2019.0,E02444
E08981,Justin Padilla,50.0,Male,Operations,Junior,6.0,Logistics,34460.0,62.0,2013-09-08,Delhi,Master,No,4.0,2019.0,E03294
E05018,Rebecca Hughes,21.0,Male,IT,Executive,0.0,"Data Analysis, C++, Cloud Computing",28493.0,42.0,2010-11-20,Delhi,Bachelor,Yes,3.0,2010.0,E03646
E01115,Michelle Haney,25.0,Male,HR,Junior,2.0,"Conflict Management, Communication",28365.0,52.0,2011-02-01,Hyderabad,Master,No,3.0,2011.0,E06853
E02847,Paul Fisher,26.0,Male,IT,Junior,0.0,"SQL, Cloud Computing",33063.0,37.0,2015-12-03,Noida,Bachelor,Yes,2.0,2015.0,E00974
E00681,Tina Wilcox,29.0,Female,Operations,Senior,8.0,"Logistics, Analytics",63608.0,61.0,2020-09-24,Delhi,Master,No,4.0,2025.0,E00714
E00079,Robert Walker DVM,34.0,Male,HR,Lead,12.0,Communication,89631.0,80.0,2020-06-27,Pune,Master,No,5.0,2025.0,E02505
E05713,Matthew Little,29.0,Male,IT,Junior,2.0,"Cloud Computing, Data Analysis",30276.0,63.0,2020-04-21,Delhi,Bachelor,Yes,4.0,2020.0,E05307
E05710,Tiffany Gonzales,37.0,Male,HR,Executive,3.0,Excel,32402.0,54.0,2024-03-03,Mumbai,Master,No,3.0,2025.0,E08711
E07316,Krystal Green,21.0,Female,Operations,Executive,0.0,Logistics,32682.0,58.0,2020-12-24,Delhi,Bachelor,No,3.0,2020.0,E04900
